testing logger
TEBDEngine: subconfig 'trunc_params'=Config(<2 options>, 'trunc_params')
TEBDEngine: reading 'dt'=0.1
TEBDEngine: reading 'N_steps'=1
TEBDEngine: reading 'order'=4
Calculate U for {'order': 4, 'delta_t': 0.1, 'type_evo': 'real', 'E_offset': None, 'tau': 0.1}
trunc_params: reading 'chi_max'=100
trunc_params: reading 'svd_min'=1e-12
--> time=0.600, max(chi)=20, max(S)=0.22377, avg DeltaS=5.3548e-02, since last update: 0.0s
--> time=0.700, max(chi)=20, max(S)=0.28028, avg DeltaS=5.6075e-02, since last update: 0.0s
--> time=0.800, max(chi)=20, max(S)=0.33819, avg DeltaS=5.7328e-02, since last update: 0.0s
--> time=0.900, max(chi)=23, max(S)=0.39626, avg DeltaS=5.7357e-02, since last update: 0.0s
--> time=1.000, max(chi)=24, max(S)=0.45330, avg DeltaS=5.6197e-02, since last update: 0.0s
--> time=1.100, max(chi)=28, max(S)=0.50816, avg DeltaS=5.3886e-02, since last update: 0.0s
Calculate U for {'order': 4, 'delta_t': 0.1, 'type_evo': 'real', 'E_offset': None, 'tau': 0.1}
--> time=1.200, max(chi)=32, max(S)=2.94877, avg DeltaS=1.3289e+00, since last update: 0.0s
Calculate U for {'order': 4, 'delta_t': 0.1, 'type_evo': 'real', 'E_offset': None, 'tau': 0.1}
--> time=1.300, max(chi)=32, max(S)=2.95272, avg DeltaS=4.2462e-04, since last update: 0.1s
--> time=1.400, max(chi)=32, max(S)=2.95462, avg DeltaS=-1.1771e-04, since last update: 0.0s
--> time=1.500, max(chi)=32, max(S)=2.95443, avg DeltaS=-6.5024e-04, since last update: 0.0s
--> time=1.600, max(chi)=32, max(S)=2.95224, avg DeltaS=-1.1442e-03, since last update: 0.0s
--> time=1.700, max(chi)=32, max(S)=2.94826, avg DeltaS=-1.5727e-03, since last update: 0.0s
--> time=1.800, max(chi)=32, max(S)=2.94278, avg DeltaS=-1.9126e-03, since last update: 0.0s
--> time=1.900, max(chi)=32, max(S)=2.93621, avg DeltaS=-2.1463e-03, since last update: 0.0s
--> time=2.000, max(chi)=32, max(S)=2.92900, avg DeltaS=-2.2618e-03, since last update: 0.0s
Calculate U for {'order': 4, 'delta_t': 0.1, 'type_evo': 'real', 'E_offset': None, 'tau': 0.1}
--> time=2.100, max(chi)=32, max(S)=2.87109, avg DeltaS=-3.1207e-02, since last update: 0.1s
Calculate U for {'order': 4, 'delta_t': 0.1, 'type_evo': 'real', 'E_offset': None, 'tau': 0.1}
--> time=2.200, max(chi)=32, max(S)=2.87316, avg DeltaS=9.5601e-04, since last update: 0.1s
--> time=2.300, max(chi)=32, max(S)=2.87485, avg DeltaS=8.4218e-04, since last update: 0.0s
--> time=2.400, max(chi)=32, max(S)=2.87596, avg DeltaS=6.8348e-04, since last update: 0.0s
--> time=2.500, max(chi)=32, max(S)=2.87623, avg DeltaS=4.7846e-04, since last update: 0.0s
--> time=2.600, max(chi)=32, max(S)=2.87542, avg DeltaS=2.3380e-04, since last update: 0.0s
--> time=2.700, max(chi)=32, max(S)=2.87341, avg DeltaS=-3.2946e-05, since last update: 0.0s
--> time=2.800, max(chi)=32, max(S)=2.87017, avg DeltaS=-3.0142e-04, since last update: 0.0s
